plant.sp,genus,species,k.type
Juniperus communis,Juniperus,communis,0
Juniperus sibirica,Juniperus,sibirica,0
Knautia arvensis,Knautia,arvensis,7.1
Knautia dipsacifolia,Knautia,dipsacifolia,7.1
Knautia kitaibelii,Knautia,kitaibelii,7.1
Lamium maculatum,Lamium,maculatum,5.1
Larix decidua,Larix,decidua,0
Lathyrus pratensis,Lathyrus,pratensis,6.1b
Leontodon hispidus,Leontodon,hispidus,7.2b
Leucanthemum adustum,Leucanthemum,adustum,7.2c
Leucanthemum halleri,Leucanthemum,halleri,7.2c
Leucanthemum ircutianum,Leucanthemum,ircutianum,7.2c
Leucanthemum vulgare,Leucanthemum,vulgare,7.2c
Ligusticum mutellina,Ligusticum,mutellina,1.2a
Lilium martagon,Lilium,martagon,3.2
Linaria alpina,Linaria,alpina,5.3
Linaria vulgaris,Linaria,vulgaris,5.3
Linum catharticum,Linum,catharticum,1.2bb
Listera ovata,Listera,ovata,5.4
Lolium multiflorum,Lolium,multiflorum,0
Lolium perenne,Lolium,perenne,0
Lotus alpinus,Lotus,alpinus,6.1c
Lotus corniculatus,Lotus,corniculatus,6.1c
Lotus tenuis,Lotus,tenuis,6.1c
Luzula alpina,Luzula,alpina,0
Luzula congesta,Luzula,congesta,0
Luzula divulgata,Luzula,divulgata,0
Luzula glabrata,Luzula,glabrata,0
Luzula luzulina,Luzula,luzulina,0
Luzula multiflora,Luzula,multiflora,0
Luzula pilosa,Luzula,pilosa,0
Luzula sudetica,Luzula,sudetica,0
Luzula sylvatica,Luzula,sylvatica,0
Lychnis flos-cuculi,Lychnis,flos-cuculi,4.2
Silene flos-cuculi,Silene,flos-cuculi,4.2
Lysimachia nemorum,Lysimachia,nemorum,1.1
Lysimachia nummularia,Lysimachia,nummularia,1.1
Maianthemum bifolium,Maianthemum,bifolium,1.2a
Malaxis monophyllos,Malaxis,monophyllos,5.4
Medicago lupulina,Medicago,lupulina,6.1b
Melampyrum sylvaticum,Melampyrum,sylvaticum,5.3
Melica nutans,Melica,nutans,0
Melica picta,Melica,picta,0
Melica uniflora,Melica,uniflora,0
Mentha arvensis,Mentha,arvensis,2.2
Mentha longifolia,Mentha,longifolia,2.2
Mercurialis ovata,Mercurialis,ovata,0
Mercurialis perennis,Mercurialis,perennis,0
Minuartia sedoides,Minuartia,sedoides,1.2bb
Minuartia verna,Minuartia,verna,1.2bb
Moehringia ciliata,Moehringia,ciliata,1.2bb
Moehringia muscosa,Moehringia,muscosa,1.2bb
Molinia arundinacea,Molinia,arundinacea,0
Molinia caerulea,Molinia,caerulea,0
Myosotis alpestris,Myosotis,alpestris,4.1
Myosotis decumbens,Myosotis,decumbens,4.1
Myosotis nemorosa,Myosotis,nemorosa,4.1
Myosotis sylvatica,Myosotis,sylvatica,4.1
Nigritella rhellicani,Nigritella,rhellicani,7.1
Ophrys holoserica,Ophrys,holoserica,5.4
Ophrys insectifera,Ophrys,insectifera,5.4
Orchis ustulata,Orchis,ustulata,5.4
Origanum vulgare,Origanum,vulgare,5.1
Oxalis acetosella,Oxalis,acetosella,1.2bc
Paris quadrifolia,Paris,quadrifolia,1.1
Parnassia palustris,Parnassia,palustris,1.2a
Pedicularis rostratocapitata,Pedicularis,rostratocapitata,5.1
Pedicularis rostratospicata,Pedicularis,rostratospicata,5.1
Petasites albus,Petasites,albus,7.2a
Peucedanum ostruthium,Peucedanum,ostruthium,1.2a
Phleum alpinum,Phleum,alpinum,0
Phleum bertolonii,Phleum,bertolonii,0
Phleum pratense,Phleum,pratense,0
Phleum rhaeticum,Phleum,rhaeticum,0
Pimpinella major,Pimpinella,major,1.2a
