plant.sp,plant.genus,plant.family,k.type,k.type.s,k.type.ss
Origanum vulgare,Origanum,Lamiaceae,5.1,5.1,5
Oxalis acetosella,Oxalis,Oxalidaceae,1.2bc,1.2,1
Papaver aurantiacum,Papaver,Papaveraceae,NA,1.1,1
Paris quadrifolia,Paris,Melanthiaceae,1.1,1.1,1
Parnassia palustris,Parnassia,Celastraceae,1.2a,1.2,1
Pedicularis rostratocapitata,Pedicularis,Orobanchaceae,5.1,5.1,5
Pedicularis rostratospicata,Pedicularis,Orobanchaceae,5.1,5.1,5
Petasites albus,Petasites,Asteraceae,7.2a,7.2,7
Peucedanum ostruthium,Peucedanum,Apiaceae,1.2a,1.2,1
Phleum pratense,Phleum,Poaceae,0,0,0
Phleum rhaeticum,Phleum,Poaceae,0,0,0
Phyteuma orbiculare,Phyteuma,Campanulaceae,NA,7.1,7
Phyteuma spicatum,Phyteuma,Campanulaceae,NA,7.1,7
Pimpinella major,Pimpinella,Apiaceae,1.2a,1.2,1
Pinguicula alpina,Pinguicula,Lentibulariaceae,5.2,5.2,5
Plantago lanceolata,Plantago,Plantaginaceae,0,0,0
Plantago major,Plantago,Plantaginaceae,0,0,0
Plantago media,Plantago,Plantaginaceae,0,0,0
Poa alpina,Poa,Poaceae,0,0,0
Poa annua,Poa,Poaceae,0,0,0
Poa pratensis,Poa,Poaceae,0,0,0
Poa trivialis,Poa,Poaceae,0,0,0
Polygala alpestris,Polygala,Polygalaceae,6.2,6.2,6
Polygala amara,Polygala,Polygalaceae,6.2,6.2,6
Polygala amarella,Polygala,Polygalaceae,6.2,6.2,6
Polygala chamaebuxus,Polygala,Polygalaceae,6.2,6.2,6
Polygonatum odoratum,Polygonatum,Asparagaceae,3.2,3.2,3
Polygonatum verticillatum,Polygonatum,Asparagaceae,3.2,3.2,3
Polygonum viviparum,Polygonum,Polygonaceae,NA,3.2,3
Potentilla aurea,Potentilla,Rosaceae,1.2ba,1.2,1
Potentilla brauneana,Potentilla,Rosaceae,1.2ba,1.2,1
Potentilla erecta,Potentilla,Rosaceae,1.2ba,1.2,1
Potentilla reptans,Potentilla,Rosaceae,1.2ba,1.2,1
Prenanthes purpurea,Prenanthes,Asteraceae,7.2b,7.2,7
Primula auricula,Primula,Primulaceae,4.1,4.1,4
Primula elatior,Primula,Primulaceae,4.1,4.1,4
Primula farinosa,Primula,Primulaceae,4.1,4.1,4
Primula minima,Primula,Primulaceae,4.1,4.1,4
Primula veris,Primula,Primulaceae,4.1,4.1,4
Pritzelago alpina,Pritzelago,Brassicaceae,1.2bb,1.2,1
Prunella vulgaris,Prunella,Lamiaceae,5.1,5.1,5
Pseudorchis albida,Pseudorchis,Orchidaceae,5.4,5.4,5
Pulsatilla alpina,Pulsatilla,Ranunculaceae,3.2,3.2,3
Pyrola rotundifolia,Pyrola,Ericaceae,3.1,3.1,3
Ranunculus aconitifolius,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus acris,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus alpestris,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus ficaria,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus montanus,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus nemorosus,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Ranunculus repens,Ranunculus,Ranunculaceae,1.2bc,1.2,1
Rhinanthus alectorolophus,Rhinanthus,Orobanchaceae,5.1,5.1,5
Rhinanthus glacialis,Rhinanthus,Orobanchaceae,5.1,5.1,5
Rhinanthus minor,Rhinanthus,Orobanchaceae,5.1,5.1,5
Rhododendron hirsutum,Rhododendron,Ericaceae,3.1,3.1,3
Rhodothamnus chamaecistus,Rhodothamnus,Ericaceae,5.6,5.6,5
Rumex acetosa,Rumex,Polygonaceae,0,0,0
Rumex alpestris,Rumex,Polygonaceae,NA,0,0
Rumex obtusifolius,Rumex,Polygonaceae,0,0,0
Sagina procumbens,Sagina,Caryophyllaceae,1.2bb,1.2,1
Sagina saginoides,Sagina,Caryophyllaceae,1.2bb,1.2,1
Salix retusa,Salix,Salicaceae,9,9,9
Salvia glutinosa,Salvia,Lamiaceae,5.1,5.1,5
Salvia verticillata,Salvia,Lamiaceae,5.1,5.1,5
Sanguisorba officinalis,Sanguisorba,Rosaceae,1.2ba,1.2,1
Sanicula europaea,Sanicula,Apiaceae,1.2a,1.2,1
Saxifraga aizoides,Saxifraga,Saxifragaceae,1.2a,1.2,1
