plant.sp,plant.genus,color
Saxifraga paniculata,Saxifraga,white
Saxifraga rotundifolia,Saxifraga,white
Saxifraga stellaris,Saxifraga,white
Scabiosa lucida,Scabiosa,blue
Scrophularia nodosa,Scrophularia,brown
Sedum album,Sedum,white
Sedum atratum,Sedum,white
Senecio abrotanifolius,Senecio,orange
Senecio germanicus,Senecio,yellow
Senecio ovatus,Senecio,yellow
Silene acaulis,Silene,red
Silene dioica,Silene,red
Silene nutans,Silene,white
Silene vulgaris,Silene,white
Solanum dulcamara,Solanum,violet
Soldanella alpina,Soldanella,violet
Solidago virgaurea,Solidago,yellow
Stachys sylvatica,Stachys,brown
Stellaria graminea,Stellaria,white
Stellaria nemorum,Stellaria,white
Taraxacum sect.,Taraxacum,yellow
Taraxacum sect.,Taraxacum,yellow
Taraxacum sect.,Taraxacum,yellow
Teucrium chamaedrys,Teucrium,red
Thalictrum aquilegiifolium,Thalictrum,violet
Thesium alpinum,Thesium,white
Thymus praecox,Thymus,purple
Thymus pulegioides,Thymus,purple
Tofieldia calyculata,Tofieldia,white
Tofieldia pusilla,Tofieldia,white
Tragopogon minor,Tragopogon,yellow
Tragopogon orientalis,Tragopogon,yellow
Tragopogon pratensis,Tragopogon,yellow
Traunsteinera globosa,Traunsteinera,purple
Trifolium badium,Trifolium,yellow
Trifolium medium,Trifolium,red
Trifolium montanum,Trifolium,white
Trifolium pratense,Trifolium,red
Trifolium repens,Trifolium,white
Trollius europaeus,Trollius,yellow
Tussilago farfara,Tussilago,yellow
Urtica dioica,Urtica,green
Vaccinium myrtillus,Vaccinium,white
Vaccinium vitis-idaea,Vaccinium,white
Valeriana dioica,Valeriana,pink
Valeriana montana,Valeriana,violet
Valeriana officinalis,Valeriana,pink
Valeriana pratensis,Valeriana,pink
Valeriana procurrens,Valeriana,pink
Valeriana sambucifolia,Valeriana,pink
Valeriana saxatilis,Valeriana,white
Valeriana tripteris,Valeriana,white
Valeriana versifolia,Valeriana,pink
Valeriana wallrothii,Valeriana,pink
Veratrum album,Veratrum,white
Verbascum thapsus,Verbascum,yellow
Veronica alpina,Veronica,violet
Veronica aphylla,Veronica,blue
Veronica beccabunga,Veronica,blue
Veronica chamaedrys,Veronica,blue
Veronica filiformis,Veronica,blue
Veronica fruticans,Veronica,blue
Veronica officinalis,Veronica,violet
Veronica serpyllifolia,Veronica,white
Vicia cracca,Vicia,violet
Vicia dalmatica,Vicia,violet
Vicia sepium,Vicia,violet
Vicia tenuifolia,Vicia,blue
Vincetoxicum hirundinaria,Vincetoxicum,white
Viola biflora,Viola,yellow
Viola collina,Viola,violet
Viola hirta,Viola,blue
Viola reichenbachiana,Viola,violet
Willemetia stipitata,Willemetia,yellow
