plant.sp,plant.genus,k.type,k.type.s,k.type.ss
Phleum rhaeticum,Phleum,0,0,0
Pimpinella major,Pimpinella,1.2a,1.2,1
Pinguicula alpina,Pinguicula,5.2,5.2,5
Plantago intermedia,Plantago,0,0,0
Plantago lanceolata,Plantago,0,0,0
Plantago major,Plantago,0,0,0
Plantago media,Plantago,0,0,0
Plantago winteri,Plantago,0,0,0
Platanthera bifolia,Platanthera,5.4,5.4,5
Poa alpina,Poa,0,0,0
Poa angustifolia,Poa,0,0,0
Poa annua,Poa,0,0,0
Poa badensis,Poa,0,0,0
Poa humilis,Poa,0,0,0
Poa pratensis,Poa,0,0,0
Poa supina,Poa,0,0,0
Poa trivialis,Poa,0,0,0
Polygala alpestris,Polygala,6.2,6.2,6
Polygala amara,Polygala,6.2,6.2,6
Polygala amarella,Polygala,6.2,6.2,6
Polygala chamaebuxus,Polygala,6.2,6.2,6
Polygonatum odoratum,Polygonatum,3.2,3.2,3
Polygonatum verticillatum,Polygonatum,3.2,3.2,3
Potentilla aurea,Potentilla,1.2ba,1.2,1
Potentilla brauneana,Potentilla,1.2ba,1.2,1
Potentilla erecta,Potentilla,1.2ba,1.2,1
Potentilla reptans,Potentilla,1.2ba,1.2,1
Prenanthes purpurea,Prenanthes,7.2b,7.2,7
Primula auricula,Primula,4.1,4.1,4
Primula elatior,Primula,4.1,4.1,4
Primula farinosa,Primula,4.1,4.1,4
Primula minima,Primula,4.1,4.1,4
Primula veris,Primula,4.1,4.1,4
Primula vulgaris,Primula,4.1,4.1,4
Pritzelago alpina,Pritzelago,1.2bb,1.2,1
Prunella grandiflora,Prunella,5.1,5.1,5
Prunella laciniata,Prunella,5.1,5.1,5
Prunella vulgaris,Prunella,5.1,5.1,5
Pseudorchis albida,Pseudorchis,5.4,5.4,5
Pulmonaria obscura,Pulmonaria,4.1,4.1,4
Pulmonaria officinalis,Pulmonaria,4.1,4.1,4
Pulsatilla alpina,Pulsatilla,3.2,3.2,3
Pulsatilla micrantha,Pulsatilla,3.2,3.2,3
Pyrola rotundifolia,Pyrola,3.1,3.1,3
Ranunculus aconitifolius,Ranunculus,1.2bc,1.2,1
Ranunculus acris,Ranunculus,1.2bc,1.2,1
Ranunculus alpestris,Ranunculus,1.2bc,1.2,1
Ranunculus breyninus,Ranunculus,1.2bc,1.2,1
Ranunculus carinthiacus,Ranunculus,1.2bc,1.2,1
Ranunculus ficaria,Ranunculus,1.2bc,1.2,1
Ranunculus montanus,Ranunculus,1.2bc,1.2,1
Ranunculus nemorosus,Ranunculus,1.2bc,1.2,1
Ranunculus platanifolius,Ranunculus,1.2bc,1.2,1
Ranunculus polyanthemoides,Ranunculus,1.2bc,1.2,1
