site,elev.mean,date,yday,bb.sp,ktype,visits,prop.visits,flower.cover,perc.flower.cover,bb.sp.abund,tongue,elev.mean0,yday0,prop.flower.cover0,bb.sp.abund0,visits.bin
ho5,1825,2010-08-21,233,wurf,1,0,0,0.19,3.392857142857143,7,med,1.446134818843969,1.3060766918613047,-0.07825486476320795,0.5323556699675946,0
ho5,1825,2010-08-21,233,wurf,2,6,0.8571428571428571,0.08,1.4285714285714286,7,med,1.446134818843969,1.3060766918613047,-0.3593351486247006,0.5323556699675946,1
ho5,1825,2010-08-21,233,wurf,3,0,0,0.12000000000000001,2.142857142857143,7,med,1.446134818843969,1.3060766918613047,-0.2571241363114305,0.5323556699675946,0
ho5,1825,2010-08-21,233,wurf,4,0,0,0.03,0.5357142857142856,7,med,1.446134818843969,1.3060766918613047,-0.48709891401628813,0.5323556699675946,0
ho5,1825,2010-08-21,233,wurf,5,1,0.14285714285714285,0.08,1.4285714285714286,7,med,1.446134818843969,1.3060766918613047,-0.3593351486247006,0.5323556699675946,1
ho5,1825,2010-08-21,233,wurf,6,0,0,0.04,0.7142857142857143,7,med,1.446134818843969,1.3060766918613047,-0.46154616093797063,0.5323556699675946,0
ho5,1825,2010-08-21,233,wurf,7,0,0,0.14,2.5,7,med,1.446134818843969,1.3060766918613047,-0.20601863015479546,0.5323556699675946,0
ho5,1825,2010-09-03,246,wurf,1,0,0,0.05,20.833333333333336,1,med,1.446134818843969,1.6839941284428648,2.4173973525524697,-0.5722460446066416,0
ho5,1825,2010-09-03,246,wurf,2,1,1,0.05,20.833333333333336,1,med,1.446134818843969,1.6839941284428648,2.4173973525524697,-0.5722460446066416,1
ho5,1825,2010-09-03,246,wurf,3,0,0,0.06,25,1,med,1.446134818843969,1.6839941284428648,3.0136282577132114,-0.5722460446066416,0
ho5,1825,2010-09-03,246,wurf,5,0,0,0.04,16.666666666666668,1,med,1.446134818843969,1.6839941284428648,1.8211664473917275,-0.5722460446066416,0
ho5,1825,2010-09-03,246,wurf,7,0,0,0.04,16.666666666666668,1,med,1.446134818843969,1.6839941284428648,1.8211664473917275,-0.5722460446066416,0
ho5,1825,2011-06-05,156,hort,1,0,0,1.4100000000000001,14.461538461538462,1,long,1.446134818843969,-0.9323573555833202,1.50562270681435,-0.5722460446066416,0
ho5,1825,2011-06-05,156,hort,2,0,0,0.08,0.8205128205128205,1,long,1.446134818843969,-0.9323573555833202,-0.4463455488503561,-0.5722460446066416,0
ho5,1825,2011-06-05,156,hort,3,0,0,0.01,0.10256410256410256,1,long,1.446134818843969,-0.9323573555833202,-0.5490807202011302,-0.5722460446066416,0
ho5,1825,2011-06-05,156,hort,4,1,1,0.25,2.564102564102564,1,long,1.446134818843969,-0.9323573555833202,-0.1968458469984764,-0.5722460446066416,1
ho5,1825,2011-06-05,156,hort,5,0,0,0.13,1.3333333333333335,1,long,1.446134818843969,-0.9323573555833202,-0.37296328359980324,-0.5722460446066416,0
ho5,1825,2011-06-05,156,hort,6,0,0,0.03,0.3076923076923077,1,long,1.446134818843969,-0.9323573555833202,-0.5197278141009091,-0.5722460446066416,0
ho5,1825,2011-06-05,156,hort,7,0,0,0.04,0.41025641025641024,1,long,1.446134818843969,-0.9323573555833202,-0.5050513610507984,-0.5722460446066416,0
ho5,1825,2011-06-05,156,mont,1,2,0.4,1.4100000000000001,14.461538461538462,5,med,1.446134818843969,-0.9323573555833202,1.50562270681435,0.16415509844284923,1
ho5,1825,2011-06-05,156,mont,2,0,0,0.08,0.8205128205128205,5,med,1.446134818843969,-0.9323573555833202,-0.4463455488503561,0.16415509844284923,0
ho5,1825,2011-06-05,156,mont,3,0,0,0.01,0.10256410256410256,5,med,1.446134818843969,-0.9323573555833202,-0.5490807202011302,0.16415509844284923,0
ho5,1825,2011-06-05,156,mont,4,1,0.2,0.25,2.564102564102564,5,med,1.446134818843969,-0.9323573555833202,-0.1968458469984764,0.16415509844284923,1
ho5,1825,2011-06-05,156,mont,5,2,0.4,0.13,1.3333333333333335,5,med,1.446134818843969,-0.9323573555833202,-0.37296328359980324,0.16415509844284923,1
ho5,1825,2011-06-05,156,mont,6,0,0,0.03,0.3076923076923077,5,med,1.446134818843969,-0.9323573555833202,-0.5197278141009091,0.16415509844284923,0
ho5,1825,2011-06-05,156,mont,7,0,0,0.04,0.41025641025641024,5,med,1.446134818843969,-0.9323573555833202,-0.5050513610507984,0.16415509844284923,0
ho5,1825,2011-06-05,156,soro,1,0,0,1.4100000000000001,14.461538461538462,1,short,1.446134818843969,-0.9323573555833202,1.50562270681435,-0.5722460446066416,0
ho5,1825,2011-06-05,156,soro,2,0,0,0.08,0.8205128205128205,1,short,1.446134818843969,-0.9323573555833202,-0.4463455488503561,-0.5722460446066416,0
ho5,1825,2011-06-05,156,soro,3,0,0,0.01,0.10256410256410256,1,short,1.446134818843969,-0.9323573555833202,-0.5490807202011302,-0.5722460446066416,0
ho5,1825,2011-06-05,156,soro,4,1,1,0.25,2.564102564102564,1,short,1.446134818843969,-0.9323573555833202,-0.1968458469984764,-0.5722460446066416,1
ho5,1825,2011-06-05,156,soro,5,0,0,0.13,1.3333333333333335,1,short,1.446134818843969,-0.9323573555833202,-0.37296328359980324,-0.5722460446066416,0
ho5,1825,2011-06-05,156,soro,6,0,0,0.03,0.3076923076923077,1,short,1.446134818843969,-0.9323573555833202,-0.5197278141009091,-0.5722460446066416,0
ho5,1825,2011-06-05,156,soro,7,0,0,0.04,0.41025641025641024,1,short,1.446134818843969,-0.9323573555833202,-0.5050513610507984,-0.5722460446066416,0
ho5,1825,2011-06-05,156,telu,1,2,0.4,1.4100000000000001,14.461538461538462,5,short,1.446134818843969,-0.9323573555833202,1.50562270681435,0.16415509844284923,1
