site,sp.pair,bb.sp1,bb.sp2,subgenus1,subgenus2,tongue1,tongue2,elev.mean,tongue.diff,tongue.pair,subgenus.diff,niche.overlap,level,niche.overlap.genus,niche.overlap.family,niche.overlap.ktype
ho1,soro:wurf,soro,wurf,Kallobombus,Alpigenobombus,short,med,841,TRUE,short:med,different,0,genus,0,NA,NA
ho1,telu:wurf,telu,wurf,Bombus,Alpigenobombus,short,med,841,TRUE,short:med,different,0.11639492037385546,genus,0.11639492037385546,NA,NA
ho2,gers:hort,gers,hort,Megabombus,Megabombus,long,long,1045,FALSE,long:long,same,0.4183716991817482,genus,0.4183716991817482,NA,NA
ho2,gers:humi,gers,humi,Megabombus,Thoracobombus,long,med,1045,TRUE,med:long,different,0,genus,0,NA,NA
ho2,gers:hypn,gers,hypn,Megabombus,Pyrobombus,long,med,1045,TRUE,med:long,different,0.23529411764705888,genus,0.23529411764705888,NA,NA
ho2,gers:jone,gers,jone,Megabombus,Pyrobombus,long,short,1045,TRUE,short:long,different,0,genus,0,NA,NA
ho2,gers:lapi,gers,lapi,Megabombus,Melanobombus,long,short,1045,TRUE,short:long,different,0,genus,0,NA,NA
ho2,gers:mont,gers,mont,Megabombus,Pyrobombus,long,med,1045,TRUE,med:long,different,0,genus,0,NA,NA
ho2,gers:pasc,gers,pasc,Megabombus,Thoracobombus,long,med,1045,TRUE,med:long,different,0.11813458372990027,genus,0.11813458372990027,NA,NA
ho2,gers:prat,gers,prat,Megabombus,Pyrobombus,long,short,1045,TRUE,short:long,different,0.15923256887160697,genus,0.15923256887160697,NA,NA
ho2,gers:psit,gers,psit,Megabombus,Psithyrus,long,short,1045,TRUE,short:long,different,0,genus,0,NA,NA
ho2,gers:soro,gers,soro,Megabombus,Kallobombus,long,short,1045,TRUE,short:long,different,0.07141527364155864,genus,0.07141527364155864,NA,NA
ho2,gers:telu,gers,telu,Megabombus,Bombus,long,short,1045,TRUE,short:long,different,0,genus,0,NA,NA
ho2,gers:wurf,gers,wurf,Megabombus,Alpigenobombus,long,med,1045,TRUE,med:long,different,0.437918675146168,genus,0.437918675146168,NA,NA
ho2,hort:humi,hort,humi,Megabombus,Thoracobombus,long,med,1045,TRUE,med:long,different,0,genus,0,NA,NA
ho2,hort:hypn,hort,hypn,Megabombus,Pyrobombus,long,med,1045,TRUE,med:long,different,0.13863662539282162,genus,0.13863662539282162,NA,NA
ho2,hort:jone,hort,jone,Megabombus,Pyrobombus,long,short,1045,TRUE,short:long,different,0.34154813927924743,genus,0.34154813927924743,NA,NA
ho2,hort:lapi,hort,lapi,Megabombus,Melanobombus,long,short,1045,TRUE,short:long,different,0,genus,0,NA,NA
ho2,hort:mont,hort,mont,Megabombus,Pyrobombus,long,med,1045,TRUE,med:long,different,0,genus,0,NA,NA
ho2,hort:pasc,hort,pasc,Megabombus,Thoracobombus,long,med,1045,TRUE,med:long,different,0.5952778265772674,genus,0.5952778265772674,NA,NA
ho2,hort:prat,hort,prat,Megabombus,Pyrobombus,long,short,1045,TRUE,short:long,different,0.3527988141091104,genus,0.3527988141091104,NA,NA
ho2,hort:psit,hort,psit,Megabombus,Psithyrus,long,short,1045,TRUE,short:long,different,0.12005352497560628,genus,0.12005352497560628,NA,NA
ho2,hort:soro,hort,soro,Megabombus,Kallobombus,long,short,1045,TRUE,short:long,different,0.2290731442856937,genus,0.2290731442856937,NA,NA
