site,elev,sp.pair,bb.sp1,bb.sp2,bb.sp1.abund,bb.sp2.abund,niche.overlap,same.class,log.bb.sp1.abund,log.bb.sp2.abund
wma2,124.5,hort_hypn,hort,hypn,14,1,0,med:long,2.6390573296152584,0
wma2,124.5,hort_jone,hort,jone,14,2,0,short:long,2.6390573296152584,0.6931471805599453
wma2,124.5,hort_lapi,hort,lapi,14,2,0.5000000000000001,short:long,2.6390573296152584,0.6931471805599453
wma2,124.5,hort_pasc,hort,pasc,14,270,0.7356441681584797,med:long,2.6390573296152584,5.598421958998375
wma2,124.5,hort_prat,hort,prat,14,45,0.776922523559456,short:long,2.6390573296152584,3.8066624897703196
wma2,124.5,hort_psit,hort,psit,14,21,0.3254237288135592,short:long,2.6390573296152584,3.044522437723423
wma2,124.5,hort_soro,hort,soro,14,76,0.2470829250912978,short:long,2.6390573296152584,4.330733340286331
wma2,124.5,hort_telu,hort,telu,14,135,0.4097968181120075,short:long,2.6390573296152584,4.90527477843843
wma2,124.5,hort_wurf,hort,wurf,14,169,0.8371792760449259,med:long,2.6390573296152584,5.1298987149230735
wma2,124.5,hypn_jone,hypn,jone,1,2,0,short:med,0,0.6931471805599453
wma2,124.5,hypn_lapi,hypn,lapi,1,2,0,short:med,0,0.6931471805599453
wma2,124.5,hypn_pasc,hypn,pasc,1,270,0.03753214558765605,med:med,0,5.598421958998375
wma2,124.5,hypn_prat,hypn,prat,1,45,0,short:med,0,3.8066624897703196
wma2,124.5,hypn_psit,hypn,psit,1,21,0,short:med,0,3.044522437723423
wma2,124.5,hypn_soro,hypn,soro,1,76,0,short:med,0,4.330733340286331
wma2,124.5,hypn_telu,hypn,telu,1,135,0,short:med,0,4.90527477843843
wma2,124.5,hypn_wurf,hypn,wurf,1,169,0,med:med,0,5.1298987149230735
wma2,124.5,jone_lapi,jone,lapi,2,2,0,short:short,0.6931471805599453,0.6931471805599453
wma2,124.5,jone_pasc,jone,pasc,2,270,0.005413425294730878,short:med,0.6931471805599453,5.598421958998375
wma2,124.5,jone_prat,jone,prat,2,45,0.1431753102131721,short:short,0.6931471805599453,3.8066624897703196
wma2,124.5,jone_psit,jone,psit,2,21,0.07678244972577697,short:short,0.6931471805599453,3.044522437723423
wma2,124.5,jone_soro,jone,soro,2,76,0.031288596130094715,short:short,0.6931471805599453,4.330733340286331
wma2,124.5,jone_telu,jone,telu,2,135,0.123536813207763,short:short,0.6931471805599453,4.90527477843843
wma2,124.5,jone_wurf,jone,wurf,2,169,0.03557239455889705,short:med,0.6931471805599453,5.1298987149230735
wma2,124.5,lapi_pasc,lapi,pasc,2,270,0.4655545753468603,short:med,0.6931471805599453,5.598421958998375
