site,date,yday,elev.mean,sp.pair,bb.sp1,bb.sp2,bb.sp1.abund,bb.sp2.abund,niche.overlap,same.class,log.bb.sp1.abund,log.bb.sp2.abund
h5,2011-06-22,173,1579,mont_prat,mont,prat,22,10,0.3750000000000001,short:med,3.091042453358316,2.302585092994046
h5,2011-06-22,173,1579,mont_psit,mont,psit,22,1,0.023255813953488302,short:med,3.091042453358316,0
h5,2011-06-22,173,1579,mont_pyre,mont,pyre,22,1,0.023255813953488302,short:med,3.091042453358316,0
h5,2011-06-22,173,1579,mont_soro,mont,soro,22,11,0.4666666666666668,short:med,3.091042453358316,2.3978952727983707
h5,2011-06-22,173,1579,mont_telu,mont,telu,22,27,0.4025974025974026,short:med,3.091042453358316,3.295836866004329
h5,2011-06-22,173,1579,mont_wurf,mont,wurf,22,2,0.18918918918918914,med:med,3.091042453358316,0.6931471805599453
h5,2011-06-22,173,1579,pasc_prat,pasc,prat,4,10,0,short:med,1.3862943611198906,2.302585092994046
h5,2011-06-22,173,1579,pasc_psit,pasc,psit,4,1,0,short:med,1.3862943611198906,0
h5,2011-06-22,173,1579,pasc_pyre,pasc,pyre,4,1,0,short:med,1.3862943611198906,0
h5,2011-06-22,173,1579,pasc_soro,pasc,soro,4,11,0.04761904761904756,short:med,1.3862943611198906,2.3978952727983707
h5,2011-06-22,173,1579,pasc_telu,pasc,telu,4,27,0.018867924528301883,short:med,1.3862943611198906,3.295836866004329
h5,2011-06-22,173,1579,pasc_wurf,pasc,wurf,4,2,0.33333333333333337,med:med,1.3862943611198906,0.6931471805599453
h5,2011-06-22,173,1579,prat_psit,prat,psit,10,1,0.11111111111111105,short:short,2.302585092994046,0
h5,2011-06-22,173,1579,prat_pyre,prat,pyre,10,1,0.11111111111111105,short:short,2.302585092994046,0
h5,2011-06-22,173,1579,prat_soro,prat,soro,10,11,0.5942028985507246,short:short,2.302585092994046,2.3978952727983707
h5,2011-06-22,173,1579,prat_telu,prat,telu,10,27,0.46739130434782616,short:short,2.302585092994046,3.295836866004329
h5,2011-06-22,173,1579,prat_wurf,prat,wurf,10,2,0.11111111111111105,short:med,2.302585092994046,0.6931471805599453
h5,2011-06-22,173,1579,psit_pyre,psit,pyre,1,1,1,short:short,0,0
h5,2011-06-22,173,1579,psit_soro,psit,soro,1,11,0.1578947368421052,short:short,0,2.3978952727983707
h5,2011-06-22,173,1579,psit_telu,psit,telu,1,27,0.018867924528301883,short:short,0,3.295836866004329
h5,2011-06-22,173,1579,psit_wurf,psit,wurf,1,2,0.33333333333333337,short:med,0,0.6931471805599453
h5,2011-06-22,173,1579,pyre_soro,pyre,soro,1,11,0.1578947368421052,short:short,0,2.3978952727983707
h5,2011-06-22,173,1579,pyre_telu,pyre,telu,1,27,0.018867924528301883,short:short,0,3.295836866004329
h5,2011-06-22,173,1579,pyre_wurf,pyre,wurf,1,2,0.33333333333333337,short:med,0,0.6931471805599453
h5,2011-06-22,173,1579,soro_telu,soro,telu,11,27,0.3592677345537756,short:short,2.3978952727983707,3.295836866004329
h5,2011-06-22,173,1579,soro_wurf,soro,wurf,11,2,0.2222222222222222,short:med,2.3978952727983707,0.6931471805599453
h5,2011-06-22,173,1579,telu_wurf,telu,wurf,27,2,0.038461538461538436,short:med,3.295836866004329,0.6931471805599453
ho3,2011-07-08,189,1333,hort_muci,hort,muci,1,1,0,med:long,0,0
ho3,2011-07-08,189,1333,hort_pasc,hort,pasc,1,4,0,med:long,0,1.3862943611198906
ho3,2011-07-08,189,1333,hort_prat,hort,prat,1,7,0,short:long,0,1.9459101490553132
ho3,2011-07-08,189,1333,hort_psit,hort,psit,1,1,0,short:long,0,0
ho3,2011-07-08,189,1333,hort_soro,hort,soro,1,1,0,short:long,0,0
ho3,2011-07-08,189,1333,hort_telu,hort,telu,1,19,0.8999999999999999,short:long,0,2.9444389791664403
ho3,2011-07-08,189,1333,hort_wurf,hort,wurf,1,2,0,med:long,0,0.6931471805599453
ho3,2011-07-08,189,1333,muci_pasc,muci,pasc,1,4,0.6,med:med,0,1.3862943611198906
ho3,2011-07-08,189,1333,muci_prat,muci,prat,1,7,0,short:med,0,1.9459101490553132
ho3,2011-07-08,189,1333,muci_psit,muci,psit,1,1,0,short:med,0,0
ho3,2011-07-08,189,1333,muci_soro,muci,soro,1,1,0,short:med,0,0
ho3,2011-07-08,189,1333,muci_telu,muci,telu,1,19,0,short:med,0,2.9444389791664403
ho3,2011-07-08,189,1333,muci_wurf,muci,wurf,1,2,0,med:med,0,0.6931471805599453
ho3,2011-07-08,189,1333,pasc_prat,pasc,prat,4,7,0.1428571428571429,short:med,1.3862943611198906,1.9459101490553132
ho3,2011-07-08,189,1333,pasc_psit,pasc,psit,4,1,0.1428571428571429,short:med,1.3862943611198906,0
ho3,2011-07-08,189,1333,pasc_soro,pasc,soro,4,1,0.1428571428571429,short:med,1.3862943611198906,0
ho3,2011-07-08,189,1333,pasc_telu,pasc,telu,4,19,0,short:med,1.3862943611198906,2.9444389791664403
ho3,2011-07-08,189,1333,pasc_wurf,pasc,wurf,4,2,0,med:med,1.3862943611198906,0.6931471805599453
ho3,2011-07-08,189,1333,prat_psit,prat,psit,7,1,1,short:short,1.9459101490553132,0
ho3,2011-07-08,189,1333,prat_soro,prat,soro,7,1,1,short:short,1.9459101490553132,0
ho3,2011-07-08,189,1333,prat_telu,prat,telu,7,19,0,short:short,1.9459101490553132,2.9444389791664403
ho3,2011-07-08,189,1333,prat_wurf,prat,wurf,7,2,0,short:med,1.9459101490553132,0.6931471805599453
ho3,2011-07-08,189,1333,psit_soro,psit,soro,1,1,1,short:short,0,0
ho3,2011-07-08,189,1333,psit_telu,psit,telu,1,19,0,short:short,0,2.9444389791664403
ho3,2011-07-08,189,1333,psit_wurf,psit,wurf,1,2,0,short:med,0,0.6931471805599453
ho3,2011-07-08,189,1333,soro_telu,soro,telu,1,19,0,short:short,0,2.9444389791664403
ho3,2011-07-08,189,1333,soro_wurf,soro,wurf,1,2,0,short:med,0,0.6931471805599453
ho3,2011-07-08,189,1333,telu_wurf,telu,wurf,19,2,0,short:med,2.9444389791664403,0.6931471805599453
ho3,2012-07-13,195,1333,hort_pasc,hort,pasc,1,2,1,med:long,0,0.6931471805599453
ho3,2012-07-13,195,1333,hort_prat,hort,prat,1,1,1,short:long,0,0
ho3,2012-07-13,195,1333,hort_soro,hort,soro,1,2,0.33333333333333337,short:long,0,0.6931471805599453
ho3,2012-07-13,195,1333,hort_telu,hort,telu,1,1,1,short:long,0,0
ho3,2012-07-13,195,1333,pasc_prat,pasc,prat,2,1,1,short:med,0.6931471805599453,0
ho3,2012-07-13,195,1333,pasc_soro,pasc,soro,2,2,0.33333333333333337,short:med,0.6931471805599453,0.6931471805599453
ho3,2012-07-13,195,1333,pasc_telu,pasc,telu,2,1,1,short:med,0.6931471805599453,0
ho3,2012-07-13,195,1333,prat_soro,prat,soro,1,2,0.33333333333333337,short:short,0,0.6931471805599453
ho3,2012-07-13,195,1333,prat_telu,prat,telu,1,1,1,short:short,0,0
ho3,2012-07-13,195,1333,soro_telu,soro,telu,2,1,0.33333333333333337,short:short,0.6931471805599453,0
ho3,2012-07-19,201,1333,hort_pasc,hort,pasc,1,1,0,med:long,0,0
ho3,2012-07-19,201,1333,hort_prat,hort,prat,1,6,0.4999999999999999,short:long,0,1.791759469228055
ho3,2012-07-19,201,1333,pasc_prat,pasc,prat,1,6,0.19999999999999996,short:med,0,1.791759469228055
ho3,2012-07-29,211,1333,hort_pasc,hort,pasc,1,3,0.19999999999999996,med:long,0,1.0986122886681098
ho3,2012-07-29,211,1333,hort_prat,hort,prat,1,9,0.3846153846153847,short:long,0,2.1972245773362196
ho3,2012-07-29,211,1333,hort_soro,hort,soro,1,1,0,short:long,0,0
ho3,2012-07-29,211,1333,hort_telu,hort,telu,1,4,1,short:long,0,1.3862943611198906
ho3,2012-07-29,211,1333,hort_wurf,hort,wurf,1,2,0.33333333333333337,med:long,0,0.6931471805599453
