site,elev.mean,date,yday,ktype,visits,prop.visits,bb.abund,perc.flower.cover,elev.mean0,yday0,prop.flower.cover0,bb.abund0,visits.bin,year
ho1,841,2012-05-25,146,7,1,0.125,8,50,-1.1070955846951966,-1.1614421475831125,1.9183958577513254,-0.42603678932677636,1,2012
ho1,841,2012-05-29,150,0,0,0,3,21.5,-1.1070955846951966,-1.0493279188055824,0.38556331033912794,-0.7327787531209669,0,2012
ho1,841,2012-05-29,150,1,0,0,3,29.5,-1.1070955846951966,-1.0493279188055824,0.8158320955776394,-0.7327787531209669,0,2012
ho1,841,2012-05-29,150,3,0,0,3,0.5,-1.1070955846951966,-1.0493279188055824,-0.7438922509119646,-0.7327787531209669,0,2012
ho1,841,2012-05-29,150,4,0,0,3,0.5,-1.1070955846951966,-1.0493279188055824,-0.7438922509119646,-0.7327787531209669,0,2012
ho1,841,2012-05-29,150,5,1,0.3333333333333333,3,5,-1.1070955846951966,-1.0493279188055824,-0.501866059215302,-0.7327787531209669,1,2012
ho1,841,2012-05-29,150,6,1,0.3333333333333333,3,4.500000000000001,-1.1070955846951966,-1.0493279188055824,-0.5287578582927089,-0.7327787531209669,1,2012
ho1,841,2012-05-29,150,7,1,0.3333333333333333,3,38.5,-1.1070955846951966,-1.0493279188055824,1.299884478970965,-0.7327787531209669,1,2012
ho1,841,2012-06-02,154,0,0,0,3,16.07142857142857,-1.1070955846951966,-0.9372136900280525,0.09359520607013792,-0.7327787531209669,0,2012
ho1,841,2012-06-02,154,1,0,0,3,32.58928571428571,-1.1070955846951966,-0.9372136900280525,0.9819849970201894,-0.7327787531209669,0,2012
ho1,841,2012-06-02,154,3,0,0,3,0.4464285714285714,-1.1070955846951966,-0.9372136900280525,-0.7467735150988297,-0.7327787531209669,0,2012
ho1,841,2012-06-02,154,4,0,0,3,0.4464285714285714,-1.1070955846951966,-0.9372136900280525,-0.7467735150988297,-0.7327787531209669,0,2012
ho1,841,2012-06-02,154,5,0,0,3,4.017857142857142,-1.1070955846951966,-0.9372136900280525,-0.5546892359744943,-0.7327787531209669,0,2012
ho1,841,2012-06-02,154,6,1,0.3333333333333333,3,5.357142857142856,-1.1070955846951966,-0.9372136900280525,-0.4826576313028685,-0.7327787531209669,1,2012
ho1,841,2012-06-02,154,7,2,0.6666666666666666,3,41.07142857142857,-1.1070955846951966,-0.9372136900280525,1.4381851599404865,-0.7327787531209669,1,2012
ho1,841,2012-06-05,157,0,0,0,1,13.218390804597702,-1.1070955846951966,-0.853128018444905,-0.059851430701601226,-0.8554755386386431,0,2012
ho1,841,2012-06-05,157,1,1,1,1,34.48275862068965,-1.1070955846951966,-0.853128018444905,1.0838227829352467,-0.8554755386386431,1,2012
ho1,841,2012-06-05,157,3,0,0,1,1.1494252873563218,-1.1070955846951966,-0.853128018444905,-0.7089638222252177,-0.8554755386386431,0,2012
ho1,841,2012-06-05,157,4,0,0,1,1.1494252873563218,-1.1070955846951966,-0.853128018444905,-0.7089638222252177,-0.8554755386386431,0,2012
ho1,841,2012-06-05,157,5,0,0,1,3.4482758620689653,-1.1070955846951966,-0.853128018444905,-0.5853233666969099,-0.8554755386386431,0,2012
ho1,841,2012-06-05,157,6,0,0,1,6.321839080459771,-1.1070955846951966,-0.853128018444905,-0.4307727972865249,-0.8554755386386431,0,2012
