Melampyrum sylvaticum L.;Hh;
Melica nutans L.;W;
Melica picta K. Koch;W;
Melica uniflora Retz.;W;
Mentha arvensis L.;BD;
Mentha longifolia (L.) L.;BD;
Mercurialis ovata Sternb. & Hoppe;W;
Mercurialis perennis L.;W;
Minuartia sedoides (L.) Hiern;AD;
Minuartia verna (L.) Hiern s. l.;AB;
Moehringia ciliata (Scop.) Dalla Torre;AB;
Moehringia muscosa L.;AB;
Molinia arundinacea Schrank;W;
Molinia caerulea (L.) Moench s. str.;W;
Myosotis alpestris F. W. Schmidt;B;
Myosotis decumbens Host;B;
Myosotis nemorosa Besser;B;
Myosotis sylvatica Ehrh. ex Hoffm.;B;
Nigritella rhellicani Teppner & Klein;F;
Ophrys holoserica (Burm. f.) Greuter;Hb;
Ophrys insectifera L.;Hb;
Orchis ustulata L.;F;
Origanum vulgare L.;B;
Oxalis acetosella L.;BD;
Paris quadrifolia L.;Dt;
Parnassia palustris L.;Dt;
Pedicularis rostratocapitata Crantz;Hh;
Pedicularis rostratospicata Crantz;Hh;
Petasites albus (L.) Gaertn.;B`;
Peucedanum ostruthium (L.) Koch;A;
Phleum alpinum L. s. str.;W;
Phleum bertolonii DC.;W;
Phleum pratense L. s. str.;W;
Phleum rhaeticum (Humphries) Rauschert;W;
Pimpinella major (L.) Huds.;A;
Pinguicula alpina L.;Dkl;
Plantago intermedia DC.;Wb;
Plantago lanceolata L.;Wb;
Plantago major L. s. str.;Wb;
Plantago media L.;Wb;
Plantago winteri Wirtg.;Wb;
Platanthera bifolia (L.) Rich.;Fn;
Poa alpina L.;W;
Poa angustifolia L.;W;
Poa annua L.;W;
Poa badensis Haenke ex Willd.;W;
Poa humilis Ehrh. ex Hoffm.;W;
Poa pratensis L. s. str.;W;
Poa supina Schrad.;W;
Poa trivialis L. s. l.;W;
Polygala alpestris Rchb.;BHb;
Polygala amara L.;B;
Polygala amarella Crantz;B;
Polygala chamaebuxus L.;B;
Polygonatum odoratum (Mill.) Druce;Hh;
Polygonatum verticillatum (L.) All.;H;
Potentilla aurea L.;AB;
Potentilla brauneana Hoppe ex Nestl.;AB;
Potentilla erecta (L.) Raeusch.;AB;
Potentilla reptans L.;AB;
Prenanthes purpurea L.;B`;
Primula auricula L.;Ft;
Primula elatior (L.) Hill;HhFt;
Primula farinosa L.;Ft;
Primula minima L.;Ft;
Primula veris L.;HhFt;
Primula vulgaris Huds.;HhFt;
Pritzelago alpina (L.) Kuntze;AB;
Prunella grandiflora (L.) Scholler;Hh;
Prunella laciniata (L.) L.;H;
Prunella vulgaris L.;H;
Pseudorchis albida (L.) Å. Löve & D. Löve;B;
Pulmonaria obscura Dumort.;H;
Pulmonaria officinalis L.;B;
Pulsatilla alpina (L.) Delarbre s. str.;B;
Pulsatilla micrantha (DC.) Sweet;B;
Pyrola rotundifolia L.;BD;
Ranunculus aconitifolius L.;AB;
Ranunculus acris L.;AB;
Ranunculus alpestris L.;AB;
Ranunculus breyninus Crantz;AB;
Ranunculus carinthiacus Hoppe;AB;
Ranunculus ficaria L.;AB;
Ranunculus montanus Willd.;AB;
Ranunculus nemorosus DC.;AB;
Ranunculus platanifolius L.;AB;
Ranunculus polyanthemoides Boreau;AB;
Ranunculus polyanthemophyllus W. Koch & Hess;AB;
Ranunculus polyanthemos L. s. str.;AB;
Ranunculus repens L.;AB;
Ranunculus serpens Schrank;AB;
Ranunculus villarsii DC.;AB;
Rhinanthus alectorolophus (Scop.) Pollich s. l.;HhF;
Rhinanthus glacialis Personnat;Hh;
Rhinanthus minor L.;Hh;
Rhinanthus rumelicus Velen.;Hh;
