"Stationsname"	"date"	"elevation"	"Messortname"	"Lat"	"Lon"	"year"	"T_meanday"	"stdDate"	"Daynumber"
"Blaueishuette"	"20.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.06	20.05.10	14749
"Blaueishuette"	"21.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.4	21.05.10	14750
"Blaueishuette"	"22.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	5.16	22.05.10	14751
"Blaueishuette"	"23.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.75	23.05.10	14752
"Blaueishuette"	"24.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	11.14	24.05.10	14753
"Blaueishuette"	"25.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	13.11	25.05.10	14754
"Blaueishuette"	"26.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	10.41	26.05.10	14755
"Blaueishuette"	"27.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.76	27.05.10	14756
"Blaueishuette"	"28.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	7.67	28.05.10	14757
"Blaueishuette"	"29.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.56	29.05.10	14758
"Blaueishuette"	"30.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.89	30.05.10	14759
"Blaueishuette"	"31.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	0.18	31.05.10	14760
"Blaueishuette"	"01.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.93	01.06.10	14761
"Blaueishuette"	"02.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.02	02.06.10	14762
"Blaueishuette"	"03.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	4.7	03.06.10	14763
"Blaueishuette"	"04.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	7.83	04.06.10	14764
"Blaueishuette"	"05.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	12.05	05.06.10	14765
"Blaueishuette"	"06.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	15.43	06.06.10	14766
"Blaueishuette"	"07.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	11.07	07.06.10	14767
"Blaueishuette"	"08.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	14.1	08.06.10	14768
"Blaueishuette"	"09.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	16.29	09.06.10	14769
"Blaueishuette"	"10.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	19.57	10.06.10	14770
"Blaueishuette"	"11.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	18.15	11.06.10	14771
"Blaueishuette"	"12.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	14.79	12.06.10	14772
"Blaueishuette"	"13.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	9.99	13.06.10	14773
"Blaueishuette"	"14.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	8.63	14.06.10	14774
"Blaueishuette"	"15.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	10.49	15.06.10	14775
"Blaueishuette"	"16.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	8.22	16.06.10	14776
"Blaueishuette"	"17.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	10.85	17.06.10	14777
"Blaueishuette"	"18.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.98	18.06.10	14778
"Blaueishuette"	"19.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.92	19.06.10	14779
"Blaueishuette"	"20.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	0.63	20.06.10	14780
"Blaueishuette"	"21.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.23	21.06.10	14781
"Blaueishuette"	"22.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.51	22.06.10	14782
