Cardamine dentata Schult.;selfing;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
;insects;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
Cardamine pratensis L. (s. l.);selfing;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;always;Proctor, M.C.F., Yeo, P., Lack, A. 1996: The natural history of pollination. HarperCollins Publishers, London;species;
Cardamine udicola Jord.;selfing;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
;insects;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
Carduus defloratus L.;selfing;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex alba Scop.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex atrata L. s. l.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex caryophyllea Latourr.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;wind;the rule;Jonsson, B.O. 1998: Genetic variation, clonal diversity and breeding system in sedges (Carex). University, Lund;species;
Carex digitata L.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex ericetorum Pollich;wind;the rule;Jonsson, B.O. 1998: Genetic variation, clonal diversity and breeding system in sedges (Carex). University, Lund;species;
;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;selfing;rare;Jonsson, B.O. 1998: Genetic variation, clonal diversity and breeding system in sedges (Carex). University, Lund;species;
Carex ferruginea Scop.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex firma (Mygind) Host;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex flacca Schreb.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;wind;the rule;Taylor, F.J. 1956: Biological Flora of the British Isles: Carex flacca Schreb. (C. glauca Scop.; C. diversicolor auct., non Crantz). Journal of Ecology 44:281-290;species;
Carex nigra (L.) Reichard;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex ovalis Good.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex pallescens L.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex panicea L.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex parviflora Host;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex sempervirens Vill.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carex vaginata Tausch;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
