BiolFlor-Name;Floral rewards;;;
;Floral rewards;Amount of floral reward;Reference
;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Dryas octopetala L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;present;Weber, H.E. 1995: Rosoideae. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2A), S. 269-659, Blackwell Wissenschafts-Verlag, Berlin;
Epilobium alsinifolium Vill.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Epilobium angustifolium L.;nectar;plenty;Myerscough, P.J. 1980: Biological Flora of the British Isles: Epilobium angustifolium L. (Chamaenerion angustifolium (L.) Scop.). Journal of Ecology 68:1047-1074;
;pollen;plenty;Myerscough, P.J. 1980: Biological Flora of the British Isles: Epilobium angustifolium L. (Chamaenerion angustifolium (L.) Scop.). Journal of Ecology 68:1047-1074;
Epilobium montanum L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Erica carnea L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Erigeron uniflorus L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Eupatorium cannabinum L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Euphorbia amygdaloides L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Euphorbia cyparissias L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;pollen;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Euphrasia frigida Pugsley;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Euphrasia minima Jacq. ex DC.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Euphrasia officinalis L. s. l.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Fragaria moschata (Duchesne) Weston;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Fragaria vesca L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Fragaria viridis (Duchesne) Weston;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Galeobdolon argentatum Smejkal;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Galeobdolon flavidum (F. Herm.) Holub;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
