site1,site2,metric,metric.class,value,elev1,elev2,man1,man2,lon1,lat1,lon2,lat2,elev.diff,mean.elev,man.diff,year
h1,ho3,ST.lh,ST.partition,0.22381111000508178,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,516,1075,TRUE,2010
h1,ho3,WN,aggregate,0.8566580345295396,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,516,1075,TRUE,2010
h1,ho3,WN.repl,WN.partition,0.522654431477831,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,516,1075,TRUE,2010
h1,ho3,WN.rich,WN.partition,0.3340036030517086,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,516,1075,TRUE,2010
h1,ho4,OS,aggregate,0.12182621431556238,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,735,1184.5,TRUE,2010
h1,ho4,OS.repl,OS.partition,0.09175284263277657,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,735,1184.5,TRUE,2010
h1,ho4,OS.rich,OS.partition,0.030073371682785812,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,735,1184.5,TRUE,2010
h1,ho4,S,aggregate,0.6193962087471162,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,735,1184.5,TRUE,2010
h1,ho4,ST,aggregate,0.8286604990898001,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,735,1184.5,TRUE,2010
h1,ho4,ST.h,ST.partition,0.03705105708356518,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,735,1184.5,TRUE,2010
h1,ho4,ST.l,ST.partition,0.5414336478213939,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,735,1184.5,TRUE,2010
h1,ho4,ST.lh,ST.partition,0.25017579418484104,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,735,1184.5,TRUE,2010
h1,ho4,WN,aggregate,0.9504867134053625,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,735,1184.5,TRUE,2010
h1,ho4,WN.repl,WN.partition,0.5166021055172273,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,735,1184.5,TRUE,2010
h1,ho4,WN.rich,WN.partition,0.4338846078881352,817,1552,grasing,none,12.836133,47.590633,12.881717,47.583083,735,1184.5,TRUE,2010
h1,t1,OS,aggregate,0.1379535957202564,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,103,765.5,TRUE,2010
h1,t1,OS.repl,OS.partition,0.06155327569858421,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,103,765.5,TRUE,2010
h1,t1,OS.rich,OS.partition,0.07640032002167217,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,103,765.5,TRUE,2010
h1,t1,S,aggregate,0.4909005927480736,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,103,765.5,TRUE,2010
h1,t1,ST,aggregate,0.6637814202687347,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,103,765.5,TRUE,2010
h1,t1,ST.h,ST.partition,0.09164755674739808,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,103,765.5,TRUE,2010
h1,t1,ST.l,ST.partition,0.5146580385990597,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,103,765.5,TRUE,2010
h1,t1,ST.lh,ST.partition,0.05747582492227686,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,103,765.5,TRUE,2010
h1,t1,WN,aggregate,0.801735015988991,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,103,765.5,TRUE,2010
h1,t1,WN.repl,WN.partition,0.7066753510585546,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,103,765.5,TRUE,2010
h1,t1,WN.rich,WN.partition,0.09505966493043637,817,714,grasing,mowing,12.836133,47.590633,12.8992,47.609817,103,765.5,TRUE,2010
h1,t5,OS,aggregate,0.07026190976107913,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,71,781.5,TRUE,2010
h1,t5,OS.repl,OS.partition,0.036125412840076476,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,71,781.5,TRUE,2010
h1,t5,OS.rich,OS.partition,0.03413649692100265,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,71,781.5,TRUE,2010
h1,t5,S,aggregate,0.5797793508825407,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,71,781.5,TRUE,2010
h1,t5,ST,aggregate,0.811430006357942,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,71,781.5,TRUE,2010
h1,t5,ST.h,ST.partition,0.007200635445796736,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,71,781.5,TRUE,2010
h1,t5,ST.l,ST.partition,0.7011463634094371,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,71,781.5,TRUE,2010
h1,t5,ST.lh,ST.partition,0.10308300750270813,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,71,781.5,TRUE,2010
h1,t5,WN,aggregate,0.8816919161190211,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,71,781.5,TRUE,2010
