bb.sp,plant.sp,preference
psit,Globularia nudicaulis,2.366738153565152
wurf,Globularia nudicaulis,1.3181634674578309
bss,Hedysarum hedysaroides,4.231238058103012
hort,Hedysarum hedysaroides,8.33944443793424
mend,Hedysarum hedysaroides,6.558105363578239
mont,Hedysarum hedysaroides,3.0062607167406776
pasc,Hedysarum hedysaroides,9.85703126499071
wurf,Hedysarum hedysaroides,8.392515290361848
bss,Helianthemum alpestre,5.374116046901269
hort,Helianthemum alpestre,1.3130694113063655
bss,Helianthemum nummularium,3.898673121255942
hypn,Helianthemum nummularium,1.5758856362712903
jone,Helianthemum nummularium,0.8826988906160781
lapi,Helianthemum nummularium,1.831309312794965
mont,Helianthemum nummularium,0.09724872895693756
pasc,Helianthemum nummularium,0.21534658816209012
prat,Helianthemum nummularium,0.04803280209242037
wurf,Helianthemum nummularium,0.10226454420320395
bss,Helleborus niger,1.0680819455291917
hort,Helleborus niger,0.3724702002443837
mont,Helleborus niger,2.772616453876787
pasc,Helleborus niger,0.06545542825376183
prat,Helleborus niger,0.20389691403297702
bss,Heracleum sphondylium,0.3947199022701367
bss,Hieracium murorum,0.12810810232791925
jone,Hieracium murorum,2.0526859090126153
mont,Hieracium murorum,0.7591767031830943
pyre,Hieracium villosum,1.4407100763919674
bss,Hippocrepis comosa,0.4693346033848987
hort,Hippocrepis comosa,0.921267154002088
hypn,Hippocrepis comosa,2.1956179676336975
jone,Hippocrepis comosa,0.7147525298610039
mont,Hippocrepis comosa,4.799035217509497
pasc,Hippocrepis comosa,0.6374628481157025
soro,Hippocrepis comosa,0.3303081527430966
wurf,Hippocrepis comosa,0.32961708735858747
bss,Hypericum maculatum,3.213368053404998
hort,Hypericum maculatum,0.6811266068438163
hypn,Hypericum maculatum,2.2938561616919615
pasc,Hypericum maculatum,0.375147418693433
prat,Hypericum maculatum,1.2422609286362094
psit,Hypericum maculatum,0.17204181838478985
soro,Hypericum maculatum,0.2171545861151605
wurf,Hypericum maculatum,0.26189688545024103
hort,Impatiens noli-tangere,3.344103189413306
bss,Knautia arvensis,1.2711303403310332
hort,Knautia arvensis,10.481074948594442
humi,Knautia arvensis,55.88385865752887
jone,Knautia arvensis,12.27899767220424
lapi,Knautia arvensis,3.470400210809535
pasc,Knautia arvensis,7.260297454998941
prat,Knautia arvensis,2.2980374146362386
psit,Knautia arvensis,4.789455887780002
soro,Knautia arvensis,1.8492839393967602
wurf,Knautia arvensis,3.582134755310607
bss,Knautia dipsacifolia,0.5314627475384618
muci,Knautia dipsacifolia,2.4926039189724998
pasc,Knautia dipsacifolia,0.46146496280908594
prat,Knautia dipsacifolia,2.2991401823560134
psit,Knautia dipsacifolia,11.241913055318754
pyre,Knautia dipsacifolia,8.217886229570794
soro,Knautia dipsacifolia,0.30367755351198583
pasc,Lamium galeobdolon,3.9052952862715475
prat,Lamium galeobdolon,2.524689621132842
soro,Lamium galeobdolon,1.358972733115341
wurf,Lamium maculatum,3.4225114772885408
bss,Lathyrus pratensis,2.052014946018612
pasc,Lathyrus pratensis,2.058455002666336
wurf,Lathyrus pratensis,1.106189137521216
bss,Leontodon hispidus,0.0970627538576058
lapi,Leontodon hispidus,0.6148112660102508
mont,Leontodon hispidus,0.14514714276994883
pasc,Leontodon hispidus,0.018370044183333267
prat,Leontodon hispidus,0.05776093839555678
psit,Leontodon hispidus,0.5585777722600626
soro,Leontodon hispidus,0.06388983879853835
bss,Leucanthemum vulgare,0.021808699861867394
pasc,Leucanthemum vulgare,0.01297367755387087
