plant.sp,bb.sp,prop.fl.abund.m,prop.visits.wm
Crepis terglouensis,wurf,0.06469026163423447,0
Crocus albiflorus,bss,0.23101103175724,0.04
Crocus albiflorus,hort,0.037037037037037035,0
Crocus albiflorus,pasc,0.29268519342736005,0.2
Crocus albiflorus,prat,0.3856172949401838,0.5
Crocus albiflorus,psit,0.37790124555746774,0
Crocus albiflorus,soro,0.3752440025156093,0
Crocus albiflorus,wurf,0.20148599966481381,0
Dactylorhiza maculata,bss,0.02829807251405928,0.0020181634712411706
Dactylorhiza maculata,gers,0.054214084233051255,0
Dactylorhiza maculata,hort,0.03541287461891494,0.006622516556291391
Dactylorhiza maculata,humi,0.019354838709677417,0
Dactylorhiza maculata,hypn,0.016674847814437555,0
Dactylorhiza maculata,jone,0.02486860824052254,0
Dactylorhiza maculata,lapi,0.0688595830209538,0
